date,region,price
2022-01-03,PADD 1,3.186
2022-01-03,PADD 2,3.001
2022-01-03,PADD 3,2.959
2022-01-03,PADD 4,3.365
2022-01-03,PADD 5,3.747
2022-01-10,PADD 1,3.177
2022-01-10,PADD 2,3.073
2022-01-10,PADD 3,2.944
2022-01-10,PADD 4,3.347
2022-01-10,PADD 5,3.793
2022-01-17,PADD 1,3.202
2022-01-17,PADD 2,3.079
2022-01-17,PADD 3,2.98
2022-01-17,PADD 4,3.332
2022-01-17,PADD 5,3.811
2022-01-24,PADD 1,3.215
2022-01-24,PADD 2,3.093
2022-01-24,PADD 3,3.022
2022-01-24,PADD 4,3.329
2022-01-24,PADD 5,3.815
2022-01-31,PADD 1,3.285
2022-01-31,PADD 2,3.15
2022-01-31,PADD 3,3.051
2022-01-31,PADD 4,3.331
2022-01-31,PADD 5,3.813
2022-02-07,PADD 1,3.366
2022-02-07,PADD 2,3.254
2022-02-07,PADD 3,3.133
2022-02-07,PADD 4,3.331
2022-02-07,PADD 5,3.83
2022-02-14,PADD 1,3.418
2022-02-14,PADD 2,3.284
2022-02-14,PADD 3,3.211
2022-02-14,PADD 4,3.329
2022-02-14,PADD 5,3.838
2022-02-21,PADD 1,3.47
2022-02-21,PADD 2,3.315
2022-02-21,PADD 3,3.241
2022-02-21,PADD 4,3.344
2022-02-21,PADD 5,3.875
2022-02-28,PADD 1,3.534
2022-02-28,PADD 2,3.418
2022-02-28,PADD 3,3.316
2022-02-28,PADD 4,3.372
2022-02-28,PADD 5,3.916
2022-03-07,PADD 1,4.036
2022-03-07,PADD 2,3.861
2022-03-07,PADD 3,3.826
2022-03-07,PADD 4,3.825
2022-03-07,PADD 5,4.369
2022-03-14,PADD 1,4.253
2022-03-14,PADD 2,4.041
2022-03-14,PADD 3,4.049
2022-03-14,PADD 4,4.137
2022-03-14,PADD 5,4.691
2022-03-21,PADD 1,4.108
2022-03-21,PADD 2,3.981
2022-03-21,PADD 3,3.957
2022-03-21,PADD 4,4.11
