date,region,utilization_rate
2022-01-07,PADD 2,93.3
2022-01-07,PADD 1,87
2022-01-07,PADD 5,76.2
2022-01-07,PADD 4,89.7
2022-01-07,PADD 3,89.7
2022-01-14,PADD 2,94
2022-01-14,PADD 3,87.7
2022-01-14,PADD 5,80.3
2022-01-14,PADD 4,87.2
2022-01-14,PADD 1,88.8
2022-01-21,PADD 1,87.3
2022-01-21,PADD 3,86.9
2022-01-21,PADD 5,79.9
2022-01-21,PADD 2,94.1
2022-01-21,PADD 4,90.9
2022-01-28,PADD 3,86
2022-01-28,PADD 5,79.3
2022-01-28,PADD 1,87.4
2022-01-28,PADD 4,92.1
2022-01-28,PADD 2,91.9
2022-02-04,PADD 2,93.8
2022-02-04,PADD 1,85.2
2022-02-04,PADD 4,92
2022-02-04,PADD 5,77
2022-02-04,PADD 3,88.9
2022-02-11,PADD 2,92.4
2022-02-11,PADD 4,84.6
2022-02-11,PADD 5,82.6
2022-02-11,PADD 3,83.5
2022-02-11,PADD 1,78.5
2022-02-18,PADD 3,85.8
2022-02-18,PADD 2,96
2022-02-18,PADD 1,90.8
2022-02-18,PADD 5,79.9
2022-02-18,PADD 4,83.3
2022-02-25,PADD 2,94
2022-02-25,PADD 5,79.5
2022-02-25,PADD 4,87.4
2022-02-25,PADD 1,85.8
2022-02-25,PADD 3,87.5
2022-03-04,PADD 2,89.8
2022-03-04,PADD 4,89.3
2022-03-04,PADD 5,81.2
2022-03-04,PADD 1,85.6
2022-03-04,PADD 3,91.8
2022-03-11,PADD 4,89.1
2022-03-11,PADD 1,87.3
2022-03-11,PADD 3,93.5
2022-03-11,PADD 5,85
2022-03-11,PADD 2,87.6
2022-03-18,PADD 3,94.3
2022-03-18,PADD 2,88.7
2022-03-18,PADD 5,87.7
2022-03-18,PADD 1,80.6
2022-03-18,PADD 4,86
2022-03-25,PADD 5,87.7
2022-03-25,PADD 4,82.3
2022-03-25,PADD 3,95.6
2022-03-25,PADD 1,76.5
2022-03-25,PADD 2,91.4
2022-04-01,PADD 2,92.8
2022-04-01,PADD 3,95.2
2022-04-01,PADD 4,76.8
2022-04-01,PADD 1,80.2
2022-04-01,PADD 5,90.1
2022-04-08,PADD 3,94.1
2022-04-08,PADD 4,78.7
2022-04-08,PADD 2,87.8
2022-04-08,PADD 1,81.1
2022-04-08,PADD 5,84.4
2022-04-15,PADD 3,94.7
2022-04-15,PADD 5,84
2022-04-15,PADD 4,83.2
2022-04-15,PADD 1,84.6
2022-04-15,PADD 2,89.5
2022-04-22,PADD 1,84
2022-04-22,PADD 5,79.1
2022-04-22,PADD 4,81.1
2022-04-22,PADD 2,90.9
2022-04-22,PADD 3,94.2
2022-04-29,PADD 3,92.4
2022-04-29,PADD 5,79.6
2022-04-29,PADD 4,76.6
2022-04-29,PADD 1,90.7
2022-04-29,PADD 2,86.4
2022-05-06,PADD 3,93.9
2022-05-06,PADD 1,91
2022-05-06,PADD 2,88
2022-05-06,PADD 4,76
2022-05-06,PADD 5,82.3
2022-05-13,PADD 3,95.2
2022-05-13,PADD 1,95
2022-05-13,PADD 4,76.6
2022-05-13,PADD 5,85.4
2022-05-13,PADD 2,89.8
2022-05-20,PADD 3,97.4
2022-05-20,PADD 5,83
2022-05-20,PADD 4,63.2
2022-05-20,PADD 1,97
2022-05-20,PADD 2,94.1
2022-05-27,PADD 1,98.2
2022-05-27,PADD 5,86.5
2022-05-27,PADD 2,93.9
2022-05-27,PADD 3,95.2
2022-05-27,PADD 4,64.2
2022-06-03,PADD 2,94.2
2022-06-03,PADD 5,90
2022-06-03,PADD 3,96.5
2022-06-03,PADD 1,99.2
2022-06-03,PADD 4,71.8
2022-06-10,PADD 2,92.9
2022-06-10,PADD 3,96.5
2022-06-10,PADD 5,84.8
2022-06-10,PADD 4,87.3
2022-06-10,PADD 1,98.3
2022-06-17,PADD 3,95.6
2022-06-17,PADD 1,97.8
2022-06-17,PADD 2,94.4
2022-06-17,PADD 5,86.5
2022-06-17,PADD 4,92.4
2022-06-24,PADD 1,98.1
2022-06-24,PADD 2,94.6
2022-06-24,PADD 5,84.5
2022-06-24,PADD 4,93.5
2022-06-24,PADD 3,97.9
2022-07-01,PADD 2,94.6
2022-07-01,PADD 1,99.2
2022-07-01,PADD 4,93
2022-07-01,PADD 3,97.6
2022-07-01,PADD 5,81.9
2022-07-08,PADD 3,98.1
2022-07-08,PADD 4,95.3
2022-07-08,PADD 5,83.5
2022-07-08,PADD 2,93.8
2022-07-08,PADD 1,98.6
2022-07-15,PADD 2,89.8
2022-07-15,PADD 4,98.9
2022-07-15,PADD 5,81.5
2022-07-15,PADD 1,97.9
2022-07-15,PADD 3,98
2022-07-22,PADD 1,97.9
2022-07-22,PADD 4,97.7
2022-07-22,PADD 2,85.2
2022-07-22,PADD 5,82.5
2022-07-22,PADD 3,97
2022-07-29,PADD 3,95.3
2022-07-29,PADD 5,80.1
2022-07-29,PADD 1,98.2
2022-07-29,PADD 2,86.9
2022-07-29,PADD 4,88.6
2022-08-05,PADD 3,98
2022-08-05,PADD 5,84.2
2022-08-05,PADD 1,100.4
2022-08-05,PADD 2,91
2022-08-05,PADD 4,93.2
2022-08-12,PADD 3,96.9
2022-08-12,PADD 4,93.3
2022-08-12,PADD 1,98.4
2022-08-12,PADD 2,92.8
2022-08-12,PADD 5,81
2022-08-19,PADD 1,97.6
2022-08-19,PADD 2,95.4
2022-08-19,PADD 5,82.4
2022-08-19,PADD 4,93.9
2022-08-19,PADD 3,95.9
2022-08-26,PADD 2,92.7
2022-08-26,PADD 4,93.4
2022-08-26,PADD 1,97.6
2022-08-26,PADD 3,94.4
2022-08-26,PADD 5,84.7
2022-09-02,PADD 5,88.1
2022-09-02,PADD 3,94.2
2022-09-02,PADD 2,83.1
2022-09-02,PADD 4,93.5
2022-09-02,PADD 1,99.6
2022-09-09,PADD 4,90.4
2022-09-09,PADD 1,97
2022-09-09,PADD 5,83.8
2022-09-09,PADD 3,94.7
2022-09-09,PADD 2,88.2
2022-09-16,PADD 3,96.9
2022-09-16,PADD 4,89.5
2022-09-16,PADD 1,91.1
2022-09-16,PADD 5,81.4
2022-09-16,PADD 2,94.8
2022-09-23,PADD 1,89.4
2022-09-23,PADD 5,82.3
2022-09-23,PADD 2,89.3
2022-09-23,PADD 3,93.7
2022-09-23,PADD 4,89
2022-09-30,PADD 2,91.2
2022-09-30,PADD 4,92.1
2022-09-30,PADD 3,94
2022-09-30,PADD 5,83.3
2022-09-30,PADD 1,85.9
2022-10-07,PADD 1,91.5
2022-10-07,PADD 3,91.9
2022-10-07,PADD 4,84.1
2022-10-07,PADD 2,92
2022-10-07,PADD 5,80.1
2022-10-14,PADD 2,91.9
2022-10-14,PADD 3,90.5
2022-10-14,PADD 4,88.2
2022-10-14,PADD 1,90.3
2022-10-14,PADD 5,82.3
2022-10-21,PADD 3,89.7
2022-10-21,PADD 1,102.5
2022-10-21,PADD 5,81.1
2022-10-21,PADD 4,90.7
2022-10-21,PADD 2,89.1
2022-10-28,PADD 4,93.9
2022-10-28,PADD 5,84.7
2022-10-28,PADD 1,103
2022-10-28,PADD 2,89.6
2022-10-28,PADD 3,91.3
2022-11-04,PADD 5,90.1
2022-11-04,PADD 1,100.9
2022-11-04,PADD 4,88.5
2022-11-04,PADD 3,92.6
2022-11-04,PADD 2,91.3
2022-11-11,PADD 5,92.7
2022-11-11,PADD 1,102
2022-11-11,PADD 3,95
2022-11-11,PADD 4,86.8
2022-11-11,PADD 2,87.5
2022-11-18,PADD 2,91.8
2022-11-18,PADD 3,95.9
2022-11-18,PADD 1,102.9
2022-11-18,PADD 5,88.7
2022-11-18,PADD 4,87.3
2022-11-25,PADD 1,101
2022-11-25,PADD 5,89.7
2022-11-25,PADD 4,88
2022-11-25,PADD 2,92
2022-11-25,PADD 3,98.2
2022-12-02,PADD 3,97.3
2022-12-02,PADD 5,91.9
2022-12-02,PADD 4,88.4
2022-12-02,PADD 2,95
2022-12-02,PADD 1,95.1
2022-12-09,PADD 1,91.4
2022-12-09,PADD 5,87.6
2022-12-09,PADD 3,94.3
2022-12-09,PADD 2,91.5
2022-12-09,PADD 4,85.6
2022-12-16,PADD 2,88.9
2022-12-16,PADD 3,92.8
2022-12-16,PADD 5,87.4
2022-12-16,PADD 4,86.8
2022-12-16,PADD 1,93.6
2022-12-23,PADD 3,94.3
2022-12-23,PADD 5,87.2
2022-12-23,PADD 2,91.3
2022-12-23,PADD 1,89.9
2022-12-23,PADD 4,85.7
2022-12-30,PADD 2,79.2
2022-12-30,PADD 3,77.7
2022-12-30,PADD 4,78.2
2022-12-30,PADD 1,84.8
2022-12-30,PADD 5,85.8
2023-01-06,PADD 5,84.4
2023-01-06,PADD 2,84.8
2023-01-06,PADD 4,70.9
2023-01-06,PADD 3,84.3
2023-01-06,PADD 1,89
2023-01-13,PADD 4,59.3
2023-01-13,PADD 2,86.7
2023-01-13,PADD 1,96.6
2023-01-13,PADD 3,86.9
2023-01-13,PADD 5,80.3
2023-01-20,PADD 5,79.2
2023-01-20,PADD 1,97.1
2023-01-20,PADD 2,88
2023-01-20,PADD 3,87.7
2023-01-20,PADD 4,64.8
2023-01-27,PADD 5,73
2023-01-27,PADD 4,71.3
2023-01-27,PADD 3,87.4
2023-01-27,PADD 2,91.1
2023-01-27,PADD 1,91
2023-02-03,PADD 1,90.8
2023-02-03,PADD 4,73.5
2023-02-03,PADD 5,82
2023-02-03,PADD 2,92.6
2023-02-03,PADD 3,88.2
2023-02-10,PADD 1,81.4
2023-02-10,PADD 3,86.7
2023-02-10,PADD 5,82.6
2023-02-10,PADD 4,71.5
2023-02-10,PADD 2,91.9
2023-02-17,PADD 3,86.7
2023-02-17,PADD 5,81.1
2023-02-17,PADD 4,75.9
2023-02-17,PADD 1,79.6
2023-02-17,PADD 2,89.8
2023-02-24,PADD 2,91
2023-02-24,PADD 3,86.2
2023-02-24,PADD 5,77.8
2023-02-24,PADD 4,84
2023-02-24,PADD 1,82.4
2023-03-03,PADD 3,86.9
2023-03-03,PADD 5,78.3
2023-03-03,PADD 1,78
2023-03-03,PADD 2,91.2
2023-03-03,PADD 4,81.1
2023-03-10,PADD 1,77.9
2023-03-10,PADD 5,83.7
2023-03-10,PADD 2,92.4
2023-03-10,PADD 3,89.1
2023-03-10,PADD 4,81
2023-03-17,PADD 5,87.2
2023-03-17,PADD 2,88.7
2023-03-17,PADD 4,80.4
2023-03-17,PADD 1,68
2023-03-17,PADD 3,91.3
2023-03-24,PADD 1,71.5
2023-03-24,PADD 2,88.3
2023-03-24,PADD 5,86
2023-03-24,PADD 4,82
2023-03-24,PADD 3,94.7
2023-03-31,PADD 5,82.7
2023-03-31,PADD 1,74.8
2023-03-31,PADD 2,88.9
2023-03-31,PADD 3,93.4
2023-03-31,PADD 4,86.8
2023-04-07,PADD 5,83.9
2023-04-07,PADD 2,85.4
2023-04-07,PADD 4,83.3
2023-04-07,PADD 3,93.1
2023-04-07,PADD 1,87.9
2023-04-14,PADD 1,92.4
2023-04-14,PADD 3,95
2023-04-14,PADD 4,90.6
2023-04-14,PADD 5,82
2023-04-14,PADD 2,87.3
2023-04-21,PADD 2,85.6
2023-04-21,PADD 1,92
2023-04-21,PADD 3,95.4
2023-04-21,PADD 4,83.8
2023-04-21,PADD 5,86.6
2023-04-28,PADD 4,68.7
2023-04-28,PADD 5,80.7
2023-04-28,PADD 1,93.6
2023-04-28,PADD 3,96.7
2023-04-28,PADD 2,86
2023-05-05,PADD 5,82
2023-05-05,PADD 1,91.3
2023-05-05,PADD 2,85.5
2023-05-05,PADD 3,97
2023-05-05,PADD 4,71.8
2023-05-12,PADD 5,85.8
2023-05-12,PADD 4,73.9
2023-05-12,PADD 3,97.6
2023-05-12,PADD 1,90.3
2023-05-12,PADD 2,86.2
2023-05-19,PADD 2,89.3
2023-05-19,PADD 5,86.9
2023-05-19,PADD 1,86
2023-05-19,PADD 3,95.3
2023-05-19,PADD 4,81.6
2023-05-26,PADD 5,90.7
2023-05-26,PADD 3,95.3
